model,expected_file,expected_under_found_folder,exists_under_found_folder,matching_name_anywhere
adversarial,model.pt,notebooks/models/bert_adversarial/model.pt,True,notebooks/models/bert_adversarial/model.pt; notebooks/models/bert_attr_reg/model.pt
adversarial,classifier.pt,notebooks/models/bert_adversarial/classifier.pt,True,notebooks/models/bert_adversarial/classifier.pt; notebooks/models/bert_attr_reg/classifier.pt
adversarial,label_encoder.joblib,notebooks/models/bert_adversarial/label_encoder.joblib,True,notebooks/models/bert_9classes_final/label_encoder.joblib; notebooks/models/bert_adversarial/label_encoder.joblib; notebooks/models/bert_attr_reg/label_encoder.joblib; notebooks/models/bert_debiased_combo/label_encoder.joblib; notebooks/models/bert_focal_loss/label_encoder.joblib; notebooks/models/bert_gdro_eta01_2ep/label_encoder.joblib; notebooks/models/bert_label_smoothing/label_encoder.joblib; notebooks/models/bert_oversample_only/label_encoder.joblib; notebooks/models/bert_scrubbing/label_encoder.joblib; notebooks/models/challengers/bert_gdro_eta005_2ep/label_encoder.joblib
adversarial,city_encoder.joblib,notebooks/models/bert_adversarial/city_encoder.joblib,True,notebooks/models/bert_adversarial/city_encoder.joblib
adversarial,training_config.json,notebooks/models/bert_adversarial/training_config.json,True,notebooks/models/bert_9classes_final/training_config.json; notebooks/models/bert_adversarial/training_config.json; notebooks/models/bert_attr_reg/training_config.json; notebooks/models/bert_debiased_combo/training_config.json; notebooks/models/bert_focal_loss/training_config.json; notebooks/models/bert_gdro_eta01_2ep/training_config.json; notebooks/models/bert_label_smoothing/training_config.json; notebooks/models/bert_oversample_only/training_config.json; notebooks/models/bert_scrubbing/training_config.json; notebooks/models/challengers/bert_gdro_eta005_2ep/training_config.json
adversarial,tokenizer.json,notebooks/models/bert_adversarial/tokenizer.json,True,notebooks/models/bert_9classes_final/tokenizer.json; notebooks/models/bert_adversarial/tokenizer.json; notebooks/models/bert_attr_reg/tokenizer.json; notebooks/models/bert_debiased_combo/tokenizer.json; notebooks/models/bert_focal_loss/tokenizer.json; notebooks/models/bert_gdro_eta01_2ep/tokenizer.json; notebooks/models/bert_label_smoothing/tokenizer.json; notebooks/models/bert_oversample_only/tokenizer.json; notebooks/models/bert_scrubbing/tokenizer.json; notebooks/models/challengers/bert_gdro_eta005_2ep/tokenizer.json
adversarial,tokenizer_config.json,notebooks/models/bert_adversarial/tokenizer_config.json,True,notebooks/models/bert_9classes_final/tokenizer_config.json; notebooks/models/bert_adversarial/tokenizer_config.json; notebooks/models/bert_attr_reg/tokenizer_config.json; notebooks/models/bert_debiased_combo/tokenizer_config.json; notebooks/models/bert_focal_loss/tokenizer_config.json; notebooks/models/bert_gdro_eta01_2ep/tokenizer_config.json; notebooks/models/bert_label_smoothing/tokenizer_config.json; notebooks/models/bert_oversample_only/tokenizer_config.json; notebooks/models/bert_scrubbing/tokenizer_config.json; notebooks/models/challengers/bert_gdro_eta005_2ep/tokenizer_config.json
adversarial,special_tokens_map.json,notebooks/models/bert_adversarial/special_tokens_map.json,False,archive/models/bert_9classes_gdro_eta0.1_1ep/special_tokens_map.json; archive/models/bert_9classes_old_gdro_eta0.1_1ep/special_tokens_map.json; archive/models/bert_9classes_old_rw_1ep/special_tokens_map.json; archive/models/local_bert/special_tokens_map.json; archive/models/minilm_paraphrase_L3v2_lr_svm/embedder_local_bert/special_tokens_map.json; archive/models/minilm_paraphrase_L3v2_lr_svm 1-34-46-181 PM/embedder_local_bert/bert_9classes_gdro_eta0.1_1ep/special_tokens_map.json
adversarial,bert/config.json,notebooks/models/bert_adversarial/bert/config.json,True,notebooks/models/bert_9classes_final/config.json; notebooks/models/bert_adversarial/bert/config.json; notebooks/models/bert_attr_reg/bert/config.json; notebooks/models/bert_debiased_combo/checkpoint-4480/config.json; notebooks/models/bert_debiased_combo/config.json; notebooks/models/bert_focal_loss/checkpoint-4134/config.json; notebooks/models/bert_focal_loss/config.json; notebooks/models/bert_gdro_eta01_2ep/checkpoint-4134/config.json; notebooks/models/bert_gdro_eta01_2ep/config.json; notebooks/models/bert_label_smoothing/checkpoint-4134/config.json
adversarial,bert/model.safetensors,notebooks/models/bert_adversarial/bert/model.safetensors,True,notebooks/models/bert_9classes_final/model.safetensors; notebooks/models/bert_adversarial/bert/model.safetensors; notebooks/models/bert_attr_reg/bert/model.safetensors; notebooks/models/bert_debiased_combo/checkpoint-4480/model.safetensors; notebooks/models/bert_debiased_combo/model.safetensors; notebooks/models/bert_focal_loss/checkpoint-4134/model.safetensors; notebooks/models/bert_focal_loss/model.safetensors; notebooks/models/bert_gdro_eta01_2ep/checkpoint-4134/model.safetensors; notebooks/models/bert_gdro_eta01_2ep/model.safetensors; notebooks/models/bert_label_smoothing/checkpoint-4134/model.safetensors
