display_name,model_name,english_transfer_test_accuracy,english_transfer_test_macro_f1,english_transfer_base_eval_slice_accuracy,english_transfer_base_eval_slice_macro_f1
Baseline,bert_9classes_final,0.116,0.056,0.142,0.064
GroupDRO η=0.1,bert_gdro_eta01_2ep,,,,
Focal Loss,bert_focal_loss,,,,
Label Smoothing,bert_label_smoothing,,,,
Adversarial Debiasing,bert_adversarial,,,,
Data Scrubbing,bert_scrubbing,,,,
Attribution Regularization,bert_attr_reg,,,,
Oversampling,bert_oversample_only,,,,
Combined Best,combined_scrubbing_groupdro,,,,
Combined Scrub + GroupDRO,bert_debiased_combo,,,,
